,name,instance,k,n,n_steps,FT_Mean,FT_Std,PT_Mean,PT_Std,MAE_Mean,MAE_Std,MSE_Mean,MSE_Std
0,"CNN_base[y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",0,100,56,10,18.97874761,0,0.100913327,0.015531039,0.588719977,0.391859773,1.628387875,1.54834137
1,"CNN_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",0,100,56,10,18.97874761,0,0.100913327,0.015531039,0.60624052,0.41494417,1.787151318,1.817867062
2,"CNN_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",0,100,56,10,18.97874761,0,0.100913327,0.015531039,0.616934908,0.428632281,1.872583746,1.948413158
3,"CNN_qACId8[qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",0,100,56,10,18.97874761,0,0.100913327,0.015531039,0.635600774,0.443193032,1.986585601,2.027065926
4,"CNN_qACId[4,6,8][qACId(4),qACId(6),qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",0,100,56,10,18.97874761,0,0.100913327,0.015531039,0.61654753,0.431416165,1.857577347,1.96235644
0,"CNN_base[y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",1,100,56,10,18.88073254,0,0.10228187,0.015292681,0.38448821,0.26249162,0.596432064,0.675243661
1,"CNN_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",1,100,56,10,18.88073254,0,0.10228187,0.015292681,0.354522965,0.240194315,0.498551057,0.538637297
2,"CNN_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",1,100,56,10,18.88073254,0,0.10228187,0.015292681,0.344897924,0.24646023,0.489051524,0.57154613
3,"CNN_qACId8[qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",1,100,56,10,18.88073254,0,0.10228187,0.015292681,0.329712361,0.243058717,0.451974461,0.515130966
4,"CNN_qACId[4,6,8][qACId(4),qACId(6),qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",1,100,56,10,18.88073254,0,0.10228187,0.015292681,0.341220702,0.226219469,0.444395284,0.478688486
0,"CNN_base[y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",2,100,56,10,19.04086947,0,0.097394015,0.014382164,1.675260052,1.045298487,11.87524422,11.15071269
1,"CNN_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",2,100,56,10,19.04086947,0,0.097394015,0.014382164,1.654857928,1.00817597,11.55930172,11.0884788
2,"CNN_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",2,100,56,10,19.04086947,0,0.097394015,0.014382164,1.708117643,1.038735732,12.16137877,11.35869994
3,"CNN_qACId8[qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",2,100,56,10,19.04086947,0,0.097394015,0.014382164,1.714299879,1.080173755,12.35149835,11.72785979
4,"CNN_qACId[4,6,8][qACId(4),qACId(6),qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=56,step=10",2,100,56,10,19.04086947,0,0.097394015,0.014382164,1.743113591,1.112160976,13.13917119,12.71296566
0,"CNN_base[y,Day%,Declination,Elevation,SolarDay%]*n=84,step=10",0,100,84,10,18.9114933,0,0.101718721,0.017063841,0.632521908,0.431185674,1.933123569,1.961652556
1,"CNN_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=84,step=10",0,100,84,10,18.9114933,0,0.101718721,0.017063841,0.60580151,0.435773556,1.799395627,2.050774585
2,"CNN_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=84,step=10",0,100,84,10,18.9114933,0,0.101718721,0.017063841,0.632595227,0.469308424,2.048130509,2.306730663
3,"CNN_qACId8[qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=84,step=10",0,100,84,10,18.9114933,0,0.101718721,0.017063841,0.61177101,0.439655292,1.871436729,2.15232624
4,"CNN_qACId[4,6,8][qACId(4),qACId(6),qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=84,step=10",0,100,84,10,18.9114933,0,0.101718721,0.017063841,0.628257378,0.45724704,1.973789563,2.325451929
0,"CNN_base[y,Day%,Declination,Elevation,SolarDay%]*n=84,step=10",1,100,84,10,19.34781885,0,0.10237467,0.019338327,0.37711048,0.261827908,0.572056401,0.687918398
1,"CNN_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=84,step=10",1,100,84,10,19.34781885,0,0.10237467,0.019338327,0.388427497,0.254517531,0.574917198,0.630342047
2,"CNN_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=84,step=10",1,100,84,10,19.34781885,0,0.10237467,0.019338327,0.396060919,0.263158531,0.625968337,0.678080618
3,"CNN_qACId8[qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=84,step=10",1,100,84,10,19.34781885,0,0.10237467,0.019338327,0.393945096,0.254901512,0.605407579,0.662109924
4,"CNN_qACId[4,6,8][qACId(4),qACId(6),qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=84,step=10",1,100,84,10,19.34781885,0,0.10237467,0.019338327,0.401596379,0.253528432,0.630363339,0.646707318
0,"CNN_base[y,Day%,Declination,Elevation,SolarDay%]*n=84,step=10",2,100,84,10,19.13336372,0,0.102424004,0.015826404,1.782401334,1.123063145,13.55248323,13.37764494
1,"CNN_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=84,step=10",2,100,84,10,19.13336372,0,0.102424004,0.015826404,1.732086202,1.124843843,13.01266061,13.22906684
2,"CNN_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=84,step=10",2,100,84,10,19.13336372,0,0.102424004,0.015826404,1.756695094,1.077830731,12.51609339,11.14741333
3,"CNN_qACId8[qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=84,step=10",2,100,84,10,19.13336372,0,0.102424004,0.015826404,1.779997177,1.12063912,13.06253029,12.82936242
4,"CNN_qACId[4,6,8][qACId(4),qACId(6),qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=84,step=10",2,100,84,10,19.13336372,0,0.102424004,0.015826404,1.834582403,1.201769754,14.58489772,14.13723608
