,name,instance,k,n,n_steps,FT_Mean,FT_Std,PT_Mean,PT_Std,MAE_Mean,MAE_Std,MSE_Mean,MSE_Std
5,"LSTM_base[y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,100,10,10,52.21579551696777,0.0,0.10565186688597773,0.03022906170621709,1.6649641933777277,1.0335576663117514,11.55976521653221,10.582380795363711
6,"LSTM_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,100,10,10,52.21579551696777,0.0,0.10565186688597773,0.03022906170621709,1.6689594272772013,1.016260994248897,11.388773036791777,10.476917047881912
7,"LSTM_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,100,10,10,52.21579551696777,0.0,0.10565186688597773,0.03022906170621709,1.6605199912439998,1.04404375536062,11.80971956626148,11.026132692430833
8,"LSTM_qACId8[qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,100,10,10,52.21579551696777,0.0,0.10565186688597773,0.03022906170621709,1.6425211779923634,1.0128106141068245,11.22503699785751,11.069546083028815
9,"LSTM_qACId[4,6,8][qACId(4),qACId(6),qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=10,step=10",2,100,10,10,52.21579551696777,0.0,0.10565186688597773,0.03022906170621709,1.617590294892133,0.9541635305567705,10.711906570912774,9.505155544660328
0,"MLP_base[y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,100,28,10,19.971821308135986,0.0,0.1046633122691205,0.028354858620538874,0.5598487987129966,0.36604867723305823,1.4750296410111512,1.3829570900854649
1,"MLP_qACId4[qACId(4),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,100,28,10,19.971821308135986,0.0,0.1046633122691205,0.028354858620538874,0.5534183418843351,0.35120086356245567,1.4134605725528813,1.2956915526941841
2,"MLP_qACId6[qACId(6),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,100,28,10,19.971821308135986,0.0,0.1046633122691205,0.028354858620538874,0.554492971206039,0.3609427592451307,1.438569112531593,1.334534034484556
3,"MLP_qACId8[qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,100,28,10,19.971821308135986,0.0,0.1046633122691205,0.028354858620538874,0.549973694144233,0.3528007147766144,1.3878390386942914,1.2621328133523286
4,"MLP_qACId[4,6,8][qACId(4),qACId(6),qACId(8),y,Day%,Declination,Elevation,SolarDay%]*n=28,step=10",0,100,28,10,19.971821308135986,0.0,0.1046633122691205,0.028354858620538874,0.5636782257806363,0.3662224855760448,1.4763454895128276,1.4469043590045134
