Name,FT,FT,PT,PT,MAE,MAE,MSE,MSE,MAPE,MAPE,ME,ME,i
Param,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,
"MLP[y,SolarDay%]",5.558180809020996,0.0,0.00020957723633492558,1.2098366976306837e-05,0.5672660330129331,0.2719724629496979,1.300550061685356,0.9750682199900064,159132281282091.62,299180680159250.6,3.7985320055402423,1.563278383224487,0
MLP[SolarDay%],5.558180809020996,0.0,0.00020957723633492558,1.2098366976306837e-05,0.6950804889658999,0.23648296730374652,1.8075456483580157,1.02023417669671,269300352403583.5,603883073135745.2,4.087235909863829,0.9766448095075246,0
MLP[y],5.558180809020996,0.0,0.00020957723633492558,1.2098366976306837e-05,0.5943497635344385,0.35025862465375085,1.4150795333297046,1.240641857266127,133922423979673.4,249487080755183.06,3.9197125828609223,1.984388875086697,0
LR(12)[SolarDay%],0.0411531925201416,0.0,0.00027992466366058604,1.4810893858131374e-05,0.6935871441701681,0.24022401033666188,1.8062767969289806,1.0373662268537693,266764763294375.22,598643385796084.4,4.083689929977091,0.9956499348686053,0
LR(6)[SolarDay%],0.018274545669555664,0.0,0.00024098871810190525,1.337349002747514e-05,0.6988630270197854,0.24384887685432374,1.8093484310833656,1.0437876629617835,272011778713006.22,599572935339019.5,4.094086508013839,0.9692931682268211,0
DT[SolarDay%],0.20997190475463867,0.0,0.0003437823239807299,0.000881301412210153,0.7040864759802924,0.45724158135032444,2.522534177068031,2.325862211518497,167333830840924.8,536560300697728.06,5.270575701126868,2.300767331060986,0
RF[SolarDay%],12.161949396133423,0.0,0.01571293528033498,0.002285315729468295,0.6606496481537919,0.3364105994923643,1.9456503312108837,1.5304679884258947,205634770647139.03,546018927769325.06,5.125436007954145,1.6419720456035116,0
"tf::LSTM(10,10)[y]*n=10,step=2",24.731078624725342,0.0,0.044245034539267876,0.05408393670084462,0.6071654145049844,0.4151703195703211,1.7421592787548157,1.7971243553117657,107615021615262.44,161496554751695.8,4.24759577643233,2.366159040018862,0
"tf::LSTM(10,10)[y]*n=10,step=28",16.388070106506348,0.0,0.04605267041240894,0.0631159237217435,0.615669899977878,0.42184497590623343,1.8000682627379447,1.9330336366405279,120540112292450.08,195768700915268.22,4.246145751890064,2.2876049301841794,0
"tf::LSTM(20,10)[y]*n=20,step=28",25.92257070541382,0.0,0.052254099699780135,0.05218350823864051,0.6830190941739814,0.45498164680024594,2.1516492686643067,2.152812622393429,116318656151679.7,212401716838646.3,4.559153868361019,2.286554199100028,0
"MLP[y,SolarDay%,qOCId(2)]",5.356091499328613,0.0,0.0002035377417434225,7.0471095632753364e-06,0.5524719393743545,0.27647455020187983,1.2554192203921848,1.0217628668181922,149440485951384.53,285245508206016.4,3.666325419923176,1.5214023947197388,1
"MLP[SolarDay%,qOCId(2)]",5.356091499328613,0.0,0.0002035377417434225,7.0471095632753364e-06,0.6426228954146972,0.24862177677424233,1.456563820575936,1.1313815746270233,358697429776556.7,496072658699733.0,3.7111826215288146,1.2640836942322433,1
"MLP[y,qOCId(2)]",5.356091499328613,0.0,0.0002035377417434225,7.0471095632753364e-06,0.579384284333178,0.3391986789257561,1.3939327917639588,1.2519466966713535,131300073287696.36,249053719489370.5,3.899929335631975,2.0073634650283663,1
"LR(12)[SolarDay%,qOCId(2)]",0.8691165447235107,0.0,0.0005305763074614544,0.0001105825248337797,0.6059948477228757,0.26542612711254837,1.4453562622661027,1.1887243564784438,213722240631195.47,455953719938003.25,3.6990269440447805,1.3284143617425166,1
"LR(6)[SolarDay%,qOCId(2)]",0.13190937042236328,0.0,0.0003220709585545787,5.499993804393041e-06,0.6131362809311037,0.26916434366740943,1.4488859618535752,1.1934398523784684,220036762465928.9,455945251365353.8,3.7019417054583044,1.3196038932288348,1
"DT[SolarDay%,qOCId(2)]",0.20263195037841797,0.0,0.0002886226250268623,2.234399948772316e-05,0.7074249544399029,0.4479921727350537,2.56745331147785,2.2629765979350958,164372794554456.78,518144241617556.25,5.578662038789806,2.493714154924406,1
"RF[SolarDay%,qOCId(2)]",11.588428974151611,0.0,0.014226848368525172,0.0017883253284721916,0.6344419735699652,0.35363971970008196,1.904063643671741,1.6489912495017611,183034489614878.12,479827350439671.9,5.220997817114399,1.7915710960292002,1
